Bat,English,Spanish,Weight,Forearm,Peak frequency,Frequency range,Description
Nyctalus noctula,Common Noctule,Nóctulo Común,18-44 g,48-58 mm,25 kHz,20-25 kHz,"The Common Noctule is one of the largest bats in Europe with dark brown fur and a wingspan of up to 40 cm. It has a rapid, powerful flight and feeds on large insects and occasionally small birds. Fun fact: It can fly at speeds of up to 60 km/h."
Pipistrellus hanaki,Hanak’s Pipistrelle,Murciélago de Hanak,4-8 g,31-33 mm,49 kHz,44-109 kHz,"Hanak’s Pipistrelle is a small bat with dark brown fur and a pale underside. It is found in Libya and Crete, roosting in tree hollows and buildings. Fun fact: It was only described as a new species in 2004."
Pipistrellus kuhlii,Kuhl’s Pipistrelle,Murciélago de Kuhl,4-9 g,31-40 mm,40 kHz,34-92 kHz,"Kuhl’s Pipistrelle is a small bat with beige or yellowish-brown fur and a pale underside. It is found in North Africa, Southern Europe, and West Asia. Fun fact: It is often found roosting in buildings and is expanding its range northwards due to climate change."
Pipistrellus maderensis,Madeira Pipistrelle,Murciélago de Madeira,4-8 g,30-35 mm,46 kHz,42-48 kHz,"The Madeiran Pipistrelle is a small bat with dark brown fur and dark muzzle, ears, and membranes. It roosts in building crevices and hunts insects around street lamps. Fun fact: It is found only in Madeira and the western Canary Islands."
Pipistrellus nathusii,Nathusius’ Pipistrelle,Murciélago de Nathusius,6-10 g,32-37 mm,45 kHz,42-48 kHz,"Nathusius’ Pipistrelle is a small bat with reddish-brown fur and a dark face, ears, and wings. It is a migratory species, often found near water. Fun fact: It was named after Hermann von Nathusius, a supporter of the researchers who described it."
Pipistrellus pipistrellus,Common Pipistrelle,Murciélago Común,3-7 g,30-34 mm,45 kHz,45-94 kHz,"The Common Pipistrelle is one of the smallest bats in Europe with dark brown fur and a pale underside. It is highly adaptable and often roosts in buildings. Fun fact: It can eat up to 3,000 insects in a single night."
Pipistrellus pygmaeus,Soprano Pipistrelle,Murciélago Soprano,4-7 g,30-34 mm,55 kHz,55-110 kHz,The Soprano Pipistrelle is very similar to the Common Pipistrelle but is slightly smaller and has a higher-pitched echolocation call. It also roosts in buildings and feeds on small flying insects. Fun fact: It was only recognized as a separate species in 1999.
Plecotus auritus,Brown Long-eared Bat,Murciélago Orejudo Dorado,6-9 g,34-42 mm,33 kHz,23-57 kHz,The Brown Long-eared Bat has long ears and a pale brown fur. It prefers woodland habitats and roosts in tree cavities and buildings. Fun fact: It can hear the footsteps of a beetle walking on a leaf.
Plecotus austriacus,Grey Long-eared Bat,Murciélago Orejudo Gris,8-12 g,38-44 mm,27 kHz,17-45 kHz,The Grey Long-eared Bat is similar to the Brown Long-eared Bat but has greyer fur. It roosts in buildings and tree cavities and feeds on moths and other insects. Fun fact: It is one of the rarest bats in the UK.
Plecotus kolombatovici,Kolombatovic’s Long-eared Bat,Murciélago Orejudo de Kolombatovic,6-9 g,35-41 mm,27 kHz,17-45 kHz,"Kolombatovic’s Long-eared Bat is the smallest Plecotus species in Europe, with a fully furred face and chin, and brown dorsal fur. It roosts in caves, wall cracks, and rock crevices. Fun fact: It can maneuver in confined spaces to catch its prey."
Plecotus macrobullaris,Alpine Long-eared Bat,Murciélago Orejudo Alpino,6-10 g,39-43 mm,35 kHz,23-67 kHz,The Alpine Long-eared Bat is a medium-sized bat with long ears and white underparts. It inhabits mountainous regions and roosts in rock crevices and buildings. Fun fact: It is the most abundant bat species in European alpine environments.
Plecotus sardus,Sardinian Long-eared Bat,Murciélago Orejudo Sardo,6-12 g,41-42 mm,34 kHz,17-53 kHz,The Sardinian Long-eared Bat is a small bat with greyish-brown fur and a pale underside. It roosts in caves and is critically endangered. Fun fact: It is the only surviving endemic mammal on Sardinia.
Plecotus teneriffae,Tenerife Long-eared Bat,Murciélago Orejudo de Tenerife,6-9 g,40-46 mm,27 kHz,17-45 kHz,The Canary Long-eared Bat is a medium-sized bat with dark grey-brown fur and large ears. It roosts in caves and lava tubes and is critically endangered. Fun fact: It is endemic to the Canary Islands.
Rhinolophus blasii,Blasius’s Horseshoe Bat,Murciélago de Herradura de Blasius,9-14 g,43-50 mm,94 kHz,92-98 kHz,Blasius’s Horseshoe Bat is a medium-sized bat with light grey fur and a distinctive horseshoe-shaped noseleaf. It roosts in caves and hunts insects on the wing. Fun fact: It is named after German zoologist Johann Heinrich Blasius.
Rhinolophus euryale,Mediterranean Horseshoe Bat,Murciélago de Herradura Mediterráneo,9-14 g,45-51 mm,102 kHz,89-106 kHz,The Mediterranean Horseshoe Bat has a medium size with greyish-brown fur and a horseshoe-shaped noseleaf. It roosts in caves and hunts insects. Fun fact: It is known for its agile flight.
Rhinolophus ferrumequinum,Greater Horseshoe Bat,Murciélago de Herradura Grande,13-34 g,50-60 mm,83 kHz,65-85 kHz,The Greater Horseshoe Bat is one of the largest horseshoe bats with reddish-brown fur and a horseshoe-shaped noseleaf. It roosts in caves and buildings. Fun fact: It can live up to 30 years in the wild.
Rhinolophus hipposideros,Lesser Horseshoe Bat,Murciélago de Herradura Pequeño,5-9 g,35-45 mm,112 kHz,110-114 kHz,The Lesser Horseshoe Bat is a small bat with dark brown fur and a horseshoe-shaped noseleaf. It roosts in caves and buildings. Fun fact: It is one of the smallest bats in Europe.
Rhinolophus mehelyi,Mehely’s Horseshoe Bat,Murciélago de Herradura de Mehely,12-17 g,48-55 mm,108 kHz,104-112 kHz,Mehely’s Horseshoe Bat is a medium-sized bat with greyish-brown fur and a horseshoe-shaped noseleaf. It roosts in caves and hunts insects. Fun fact: It is named after Hungarian zoologist Lajos Méhely.
Tadarida teniotis,European Free-tailed Bat,Murciélago de Cola Libre Europeo,22-48 g,55-65 mm,18 kHz,10-24 kHz,The European Free-tailed Bat is a large bat with dark brown fur and a free tail extending beyond the tail membrane. It roosts in rock crevices and buildings. Fun fact: It can fly at speeds of up to 100 km/h.
Vespertilio murinus,Parti-coloured Bat,Murciélago Bicolor,11-24 g,41-50 mm,25 kHz,20-27 kHz,"The Parti-coloured Bat has dark brown fur with white-tipped hairs, giving it a frosted appearance. It roosts in tree hollows and buildings. Fun fact: It is known for its high-altitude flight."
